STATE,DISTRICT,MURDER,YEAR
"A & N ISLANDS","A and N ISLANDS",15,2007
"A & N ISLANDS",ANDAMAN,3,2006
"A & N ISLANDS",ANDAMAN,8,2008
"A & N ISLANDS",ANDAMAN,8,2010
"A & N ISLANDS",ANDAMAN,13,2001
"A & N ISLANDS",ANDAMAN,13,2004
"A & N ISLANDS",ANDAMAN,14,2002
"A & N ISLANDS",ANDAMAN,14,2005
"A & N ISLANDS",ANDAMAN,14,2011
"A & N ISLANDS",ANDAMAN,15,2009
"A & N ISLANDS",ANDAMAN,16,2003
"A & N ISLANDS",CAR,2,2012
"A & N ISLANDS",NICOBAR,0,2001
"A & N ISLANDS",NICOBAR,0,2005
"A & N ISLANDS",NICOBAR,0,2008
"A & N ISLANDS",NICOBAR,0,2009
"A & N ISLANDS",NICOBAR,0,2011
"A & N ISLANDS",NICOBAR,1,2006
"A & N ISLANDS",NICOBAR,1,2010
"A & N ISLANDS",NICOBAR,2,2004
"A & N ISLANDS",NICOBAR,3,2002
"A & N ISLANDS",NICOBAR,5,2003
"A & N ISLANDS",NORTH,5,2012
"A & N ISLANDS",SOUTH,8,2012
"A & N ISLANDS",TOTAL,4,2006
"A & N ISLANDS",TOTAL,8,2008
"A & N ISLANDS",TOTAL,9,2010
"A & N ISLANDS",TOTAL,13,2001
"A & N ISLANDS",TOTAL,14,2005
"A & N ISLANDS",TOTAL,14,2011
"A & N ISLANDS",TOTAL,15,2004
"A & N ISLANDS",TOTAL,15,2007
"A & N ISLANDS",TOTAL,15,2009
"A & N ISLANDS",TOTAL,15,2012
"A & N ISLANDS",TOTAL,17,2002
"A & N ISLANDS",TOTAL,21,2003
"ANDHRA PRADESH",ADILABAD,73,2008
"ANDHRA PRADESH",ADILABAD,81,2012
"ANDHRA PRADESH",ADILABAD,85,2009
"ANDHRA PRADESH",ADILABAD,98,2010
"ANDHRA PRADESH",ADILABAD,99,2006
"ANDHRA PRADESH",ADILABAD,100,2002
"ANDHRA PRADESH",ADILABAD,101,2001
"ANDHRA PRADESH",ADILABAD,107,2003
"ANDHRA PRADESH",ADILABAD,108,2005
"ANDHRA PRADESH",ADILABAD,109,2011
"ANDHRA PRADESH",ADILABAD,112,2007
"ANDHRA PRADESH",ADILABAD,113,2004
"ANDHRA PRADESH",ANANTAPUR,137,2010
"ANDHRA PRADESH",ANANTAPUR,140,2009
"ANDHRA PRADESH",ANANTAPUR,149,2007
"ANDHRA PRADESH",ANANTAPUR,151,2001
"ANDHRA PRADESH",ANANTAPUR,152,2004
"ANDHRA PRADESH",ANANTAPUR,154,2008
"ANDHRA PRADESH",ANANTAPUR,166,2002
"ANDHRA PRADESH",ANANTAPUR,171,2011
"ANDHRA PRADESH",ANANTAPUR,172,2005
"ANDHRA PRADESH",ANANTAPUR,173,2003
"ANDHRA PRADESH",ANANTAPUR,173,2012
"ANDHRA PRADESH",ANANTAPUR,184,2006
"ANDHRA PRADESH",CHITTOOR,85,2009
"ANDHRA PRADESH",CHITTOOR,91,2011
"ANDHRA PRADESH",CHITTOOR,91,2012
"ANDHRA PRADESH",CHITTOOR,100,2010
"ANDHRA PRADESH",CHITTOOR,101,2001
"ANDHRA PRADESH",CHITTOOR,105,2002
"ANDHRA PRADESH",CHITTOOR,105,2004
"ANDHRA PRADESH",CHITTOOR,105,2005
"ANDHRA PRADESH",CHITTOOR,109,2003
"ANDHRA PRADESH",CHITTOOR,123,2008
"ANDHRA PRADESH",CHITTOOR,126,2006
"ANDHRA PRADESH",CHITTOOR,129,2007
"ANDHRA PRADESH",CUDDAPAH,80,2001
"ANDHRA PRADESH",CUDDAPAH,91,2002
"ANDHRA PRADESH",CUDDAPAH,93,2009
"ANDHRA PRADESH",CUDDAPAH,95,2003
"ANDHRA PRADESH",CUDDAPAH,96,2004
"ANDHRA PRADESH",CUDDAPAH,96,2005
"ANDHRA PRADESH",CUDDAPAH,96,2007
"ANDHRA PRADESH",CUDDAPAH,98,2006
"ANDHRA PRADESH",CUDDAPAH,99,2010
"ANDHRA PRADESH",CUDDAPAH,114,2008
"ANDHRA PRADESH",CUDDAPAH,118,2012
"ANDHRA PRADESH",CUDDAPAH,120,2011
"ANDHRA PRADESH",CYBERABAD,145,2004
"ANDHRA PRADESH",CYBERABAD,150,2005
"ANDHRA PRADESH",CYBERABAD,155,2003
"ANDHRA PRADESH",CYBERABAD,186,2007
"ANDHRA PRADESH",CYBERABAD,186,2009
"ANDHRA PRADESH",CYBERABAD,187,2010
"ANDHRA PRADESH",CYBERABAD,193,2006
"ANDHRA PRADESH",CYBERABAD,197,2008
"ANDHRA PRADESH",CYBERABAD,198,2012
"ANDHRA PRADESH",CYBERABAD,213,2011
"ANDHRA PRADESH","EAST GODAVARI",70,2012
"ANDHRA PRADESH","EAST GODAVARI",71,2010
"ANDHRA PRADESH","EAST GODAVARI",73,2003
"ANDHRA PRADESH","EAST GODAVARI",82,2001
"ANDHRA PRADESH","EAST GODAVARI",82,2008
"ANDHRA PRADESH","EAST GODAVARI",83,2011
"ANDHRA PRADESH","EAST GODAVARI",85,2006
"ANDHRA PRADESH","EAST GODAVARI",93,2009
"ANDHRA PRADESH","EAST GODAVARI",96,2004
"ANDHRA PRADESH","EAST GODAVARI",97,2002
"ANDHRA PRADESH","EAST GODAVARI",99,2007
"ANDHRA PRADESH","EAST GODAVARI",110,2005
"ANDHRA PRADESH","GUNTAKAL RLY.",0,2002
"ANDHRA PRADESH","GUNTAKAL RLY.",3,2001
"ANDHRA PRADESH","GUNTAKAL RLY.",3,2007
"ANDHRA PRADESH","GUNTAKAL RLY.",4,2003
"ANDHRA PRADESH","GUNTAKAL RLY.",7,2006
"ANDHRA PRADESH","GUNTAKAL RLY.",7,2008
"ANDHRA PRADESH","GUNTAKAL RLY.",7,2009
"ANDHRA PRADESH","GUNTAKAL RLY.",7,2012
"ANDHRA PRADESH","GUNTAKAL RLY.",8,2004
"ANDHRA PRADESH","GUNTAKAL RLY.",8,2010
"ANDHRA PRADESH","GUNTAKAL RLY.",9,2011
"ANDHRA PRADESH","GUNTAKAL RLY.",12,2005
"ANDHRA PRADESH",GUNTUR,88,2011
"ANDHRA PRADESH",GUNTUR,96,2012
"ANDHRA PRADESH",GUNTUR,107,2010
"ANDHRA PRADESH",GUNTUR,143,2002
"ANDHRA PRADESH",GUNTUR,150,2009
"ANDHRA PRADESH",GUNTUR,155,2006
"ANDHRA PRADESH",GUNTUR,157,2007
"ANDHRA PRADESH",GUNTUR,159,2008
"ANDHRA PRADESH",GUNTUR,163,2004
"ANDHRA PRADESH",GUNTUR,165,2005
"ANDHRA PRADESH",GUNTUR,182,2001
"ANDHRA PRADESH",GUNTUR,210,2003
"ANDHRA PRADESH","GUNTUR URBAN",43,2010
"ANDHRA PRADESH","GUNTUR URBAN",51,2011
"ANDHRA PRADESH","GUNTUR URBAN",56,2012
"ANDHRA PRADESH","HYDERABAD CITY",102,2012
"ANDHRA PRADESH","HYDERABAD CITY",108,2005
"ANDHRA PRADESH","HYDERABAD CITY",111,2001
"ANDHRA PRADESH","HYDERABAD CITY",117,2002
"ANDHRA PRADESH","HYDERABAD CITY",117,2011
"ANDHRA PRADESH","HYDERABAD CITY",121,2004
"ANDHRA PRADESH","HYDERABAD CITY",121,2007
"ANDHRA PRADESH","HYDERABAD CITY",122,2008
"ANDHRA PRADESH","HYDERABAD CITY",124,2003
"ANDHRA PRADESH","HYDERABAD CITY",125,2006
"ANDHRA PRADESH","HYDERABAD CITY",134,2010
"ANDHRA PRADESH","HYDERABAD CITY",153,2009
"ANDHRA PRADESH",KARIMNAGAR,91,2009
"ANDHRA PRADESH",KARIMNAGAR,123,2004
"ANDHRA PRADESH",KARIMNAGAR,123,2007
"ANDHRA PRADESH",KARIMNAGAR,128,2012
"ANDHRA PRADESH",KARIMNAGAR,134,2008
"ANDHRA PRADESH",KARIMNAGAR,139,2010
"ANDHRA PRADESH",KARIMNAGAR,147,2006
"ANDHRA PRADESH",KARIMNAGAR,150,2011
"ANDHRA PRADESH",KARIMNAGAR,153,2003
"ANDHRA PRADESH",KARIMNAGAR,160,2002
"ANDHRA PRADESH",KARIMNAGAR,162,2001
"ANDHRA PRADESH",KARIMNAGAR,164,2005
"ANDHRA PRADESH",KHAMMAM,89,2003
"ANDHRA PRADESH",KHAMMAM,93,2001
"ANDHRA PRADESH",KHAMMAM,93,2010
"ANDHRA PRADESH",KHAMMAM,106,2002
"ANDHRA PRADESH",KHAMMAM,108,2004
"ANDHRA PRADESH",KHAMMAM,108,2011
"ANDHRA PRADESH",KHAMMAM,110,2005
"ANDHRA PRADESH",KHAMMAM,118,2009
"ANDHRA PRADESH",KHAMMAM,123,2008
"ANDHRA PRADESH",KHAMMAM,125,2007
"ANDHRA PRADESH",KHAMMAM,130,2012
"ANDHRA PRADESH",KHAMMAM,134,2006
"ANDHRA PRADESH",KRISHNA,53,2008
"ANDHRA PRADESH",KRISHNA,60,2004
"ANDHRA PRADESH",KRISHNA,64,2007
"ANDHRA PRADESH",KRISHNA,65,2001
"ANDHRA PRADESH",KRISHNA,66,2003
"ANDHRA PRADESH",KRISHNA,69,2005
"ANDHRA PRADESH",KRISHNA,70,2011
"ANDHRA PRADESH",KRISHNA,72,2009
"ANDHRA PRADESH",KRISHNA,73,2006
"ANDHRA PRADESH",KRISHNA,78,2012
"ANDHRA PRADESH",KRISHNA,80,2010
"ANDHRA PRADESH",KRISHNA,92,2002
"ANDHRA PRADESH",KURNOOL,103,2009
"ANDHRA PRADESH",KURNOOL,111,2012
"ANDHRA PRADESH",KURNOOL,112,2004
"ANDHRA PRADESH",KURNOOL,116,2008
"ANDHRA PRADESH",KURNOOL,124,2002
"ANDHRA PRADESH",KURNOOL,124,2007
"ANDHRA PRADESH",KURNOOL,125,2003
"ANDHRA PRADESH",KURNOOL,132,2006
"ANDHRA PRADESH",KURNOOL,133,2001
"ANDHRA PRADESH",KURNOOL,140,2005
"ANDHRA PRADESH",KURNOOL,153,2011
"ANDHRA PRADESH",KURNOOL,156,2010
"ANDHRA PRADESH",MAHABOOBNAGAR,157,2001
"ANDHRA PRADESH",MAHABOOBNAGAR,158,2009
"ANDHRA PRADESH",MAHABOOBNAGAR,171,2002
"ANDHRA PRADESH",MAHABOOBNAGAR,173,2007
"ANDHRA PRADESH",MAHABOOBNAGAR,177,2010
"ANDHRA PRADESH",MAHABOOBNAGAR,182,2012
"ANDHRA PRADESH",MAHABOOBNAGAR,183,2004
"ANDHRA PRADESH",MAHABOOBNAGAR,188,2008
"ANDHRA PRADESH",MAHABOOBNAGAR,188,2011
"ANDHRA PRADESH",MAHABOOBNAGAR,191,2003
"ANDHRA PRADESH",MAHABOOBNAGAR,191,2006
"ANDHRA PRADESH",MAHABOOBNAGAR,212,2005
"ANDHRA PRADESH",MEDAK,96,2010
"ANDHRA PRADESH",MEDAK,101,2001
"ANDHRA PRADESH",MEDAK,103,2002
"ANDHRA PRADESH",MEDAK,113,2012
"ANDHRA PRADESH",MEDAK,120,2009
"ANDHRA PRADESH",MEDAK,124,2003
"ANDHRA PRADESH",MEDAK,127,2004
"ANDHRA PRADESH",MEDAK,128,2007
"ANDHRA PRADESH",MEDAK,133,2005
"ANDHRA PRADESH",MEDAK,134,2006
"ANDHRA PRADESH",MEDAK,140,2008
"ANDHRA PRADESH",MEDAK,141,2011
"ANDHRA PRADESH",NALGONDA,86,2012
"ANDHRA PRADESH",NALGONDA,101,2011
"ANDHRA PRADESH",NALGONDA,109,2002
"ANDHRA PRADESH",NALGONDA,118,2004
"ANDHRA PRADESH",NALGONDA,118,2010
"ANDHRA PRADESH",NALGONDA,121,2008
"ANDHRA PRADESH",NALGONDA,122,2001
"ANDHRA PRADESH",NALGONDA,124,2009
"ANDHRA PRADESH",NALGONDA,132,2006
"ANDHRA PRADESH",NALGONDA,135,2007
"ANDHRA PRADESH",NALGONDA,138,2005
"ANDHRA PRADESH",NALGONDA,142,2003
"ANDHRA PRADESH",NELLORE,61,2011
"ANDHRA PRADESH",NELLORE,66,2009
"ANDHRA PRADESH",NELLORE,68,2007
"ANDHRA PRADESH",NELLORE,70,2008
"ANDHRA PRADESH",NELLORE,72,2010
"ANDHRA PRADESH",NELLORE,78,2006
"ANDHRA PRADESH",NELLORE,80,2003
"ANDHRA PRADESH",NELLORE,84,2002
"ANDHRA PRADESH",NELLORE,86,2005
"ANDHRA PRADESH",NELLORE,89,2001
"ANDHRA PRADESH",NELLORE,94,2004
"ANDHRA PRADESH",NELLORE,94,2012
"ANDHRA PRADESH",NIZAMABAD,88,2005
"ANDHRA PRADESH",NIZAMABAD,90,2003
"ANDHRA PRADESH",NIZAMABAD,93,2002
"ANDHRA PRADESH",NIZAMABAD,96,2004
"ANDHRA PRADESH",NIZAMABAD,98,2010
"ANDHRA PRADESH",NIZAMABAD,106,2001
"ANDHRA PRADESH",NIZAMABAD,106,2009
"ANDHRA PRADESH",NIZAMABAD,110,2006
"ANDHRA PRADESH",NIZAMABAD,113,2012
"ANDHRA PRADESH",NIZAMABAD,135,2011
"ANDHRA PRADESH",NIZAMABAD,151,2007
"ANDHRA PRADESH",NIZAMABAD,153,2008
"ANDHRA PRADESH",PRAKASHAM,67,2002
"ANDHRA PRADESH",PRAKASHAM,75,2008
"ANDHRA PRADESH",PRAKASHAM,78,2007
"ANDHRA PRADESH",PRAKASHAM,78,2009
"ANDHRA PRADESH",PRAKASHAM,88,2011
"ANDHRA PRADESH",PRAKASHAM,92,2006
"ANDHRA PRADESH",PRAKASHAM,94,2003
"ANDHRA PRADESH",PRAKASHAM,98,2010
"ANDHRA PRADESH",PRAKASHAM,102,2001
"ANDHRA PRADESH",PRAKASHAM,103,2004
"ANDHRA PRADESH",PRAKASHAM,106,2005
"ANDHRA PRADESH",PRAKASHAM,108,2012
"ANDHRA PRADESH",RAJAHMUNDRY,21,2010
"ANDHRA PRADESH",RAJAHMUNDRY,21,2011
"ANDHRA PRADESH",RAJAHMUNDRY,23,2012
"ANDHRA PRADESH","RANGA REDDY",33,2010
"ANDHRA PRADESH","RANGA REDDY",57,2006
"ANDHRA PRADESH","RANGA REDDY",62,2005
"ANDHRA PRADESH","RANGA REDDY",63,2009
"ANDHRA PRADESH","RANGA REDDY",65,2003
"ANDHRA PRADESH","RANGA REDDY",72,2007
"ANDHRA PRADESH","RANGA REDDY",72,2012
"ANDHRA PRADESH","RANGA REDDY",73,2004
"ANDHRA PRADESH","RANGA REDDY",75,2011
"ANDHRA PRADESH","RANGA REDDY",91,2008
"ANDHRA PRADESH","RANGA REDDY",214,2001
"ANDHRA PRADESH","RANGA REDDY",214,2002
"ANDHRA PRADESH","SECUNDERABAD RLY.",2,2010
"ANDHRA PRADESH","SECUNDERABAD RLY.",4,2012
"ANDHRA PRADESH","SECUNDERABAD RLY.",6,2001
"ANDHRA PRADESH","SECUNDERABAD RLY.",8,2004
"ANDHRA PRADESH","SECUNDERABAD RLY.",9,2009
"ANDHRA PRADESH","SECUNDERABAD RLY.",9,2011
"ANDHRA PRADESH","SECUNDERABAD RLY.",10,2003
"ANDHRA PRADESH","SECUNDERABAD RLY.",10,2008
"ANDHRA PRADESH","SECUNDERABAD RLY.",11,2005
"ANDHRA PRADESH","SECUNDERABAD RLY.",11,2006
"ANDHRA PRADESH","SECUNDERABAD RLY.",12,2002
"ANDHRA PRADESH","SECUNDERABAD RLY.",12,2007
"ANDHRA PRADESH",SRIKAKULAM,25,2008
"ANDHRA PRADESH",SRIKAKULAM,26,2004
"ANDHRA PRADESH",SRIKAKULAM,27,2002
"ANDHRA PRADESH",SRIKAKULAM,31,2007
"ANDHRA PRADESH",SRIKAKULAM,31,2009
"ANDHRA PRADESH",SRIKAKULAM,31,2010
"ANDHRA PRADESH",SRIKAKULAM,35,2012
"ANDHRA PRADESH",SRIKAKULAM,36,2005
"ANDHRA PRADESH",SRIKAKULAM,38,2001
"ANDHRA PRADESH",SRIKAKULAM,39,2003
"ANDHRA PRADESH",SRIKAKULAM,40,2011
"ANDHRA PRADESH",SRIKAKULAM,46,2006
"ANDHRA PRADESH","TIRUPATHI URBAN",31,2010
"ANDHRA PRADESH","TIRUPATHI URBAN",37,2012
"ANDHRA PRADESH","TIRUPATHI URBAN",44,2011
"ANDHRA PRADESH",TOTAL,2449,2009
"ANDHRA PRADESH",TOTAL,2525,2002
"ANDHRA PRADESH",TOTAL,2538,2010
"ANDHRA PRADESH",TOTAL,2579,2004
"ANDHRA PRADESH",TOTAL,2602,2001
"ANDHRA PRADESH",TOTAL,2665,2007
"ANDHRA PRADESH",TOTAL,2667,2003
"ANDHRA PRADESH",TOTAL,2690,2008
"ANDHRA PRADESH",TOTAL,2717,2012
"ANDHRA PRADESH",TOTAL,2750,2005
"ANDHRA PRADESH",TOTAL,2766,2006
"ANDHRA PRADESH",TOTAL,2808,2011
"ANDHRA PRADESH",VIJAYAWADA,34,2003
"ANDHRA PRADESH",VIJAYAWADA,39,2002
"ANDHRA PRADESH",VIJAYAWADA,41,2005
"ANDHRA PRADESH",VIJAYAWADA,46,2004
"ANDHRA PRADESH",VIJAYAWADA,53,2001
"ANDHRA PRADESH","VIJAYAWADA CITY",33,2007
"ANDHRA PRADESH","VIJAYAWADA CITY",33,2010
"ANDHRA PRADESH","VIJAYAWADA CITY",34,2008
"ANDHRA PRADESH","VIJAYAWADA CITY",34,2009
"ANDHRA PRADESH","VIJAYAWADA CITY",35,2011
"ANDHRA PRADESH","VIJAYAWADA CITY",42,2012
"ANDHRA PRADESH","VIJAYAWADA CITY",43,2006
"ANDHRA PRADESH","VIJAYAWADA RLY.",0,2003
"ANDHRA PRADESH","VIJAYAWADA RLY.",1,2004
"ANDHRA PRADESH","VIJAYAWADA RLY.",1,2008
"ANDHRA PRADESH","VIJAYAWADA RLY.",2,2001
"ANDHRA PRADESH","VIJAYAWADA RLY.",2,2006
"ANDHRA PRADESH","VIJAYAWADA RLY.",2,2011
"ANDHRA PRADESH","VIJAYAWADA RLY.",3,2002
"ANDHRA PRADESH","VIJAYAWADA RLY.",3,2007
"ANDHRA PRADESH","VIJAYAWADA RLY.",3,2009
"ANDHRA PRADESH","VIJAYAWADA RLY.",3,2010
"ANDHRA PRADESH","VIJAYAWADA RLY.",5,2005
"ANDHRA PRADESH","VIJAYAWADA RLY.",7,2012
"ANDHRA PRADESH","VISAKHA RURAL",47,2009
"ANDHRA PRADESH","VISAKHA RURAL",50,2004
"ANDHRA PRADESH","VISAKHA RURAL",54,2002
"ANDHRA PRADESH","VISAKHA RURAL",55,2005
"ANDHRA PRADESH","VISAKHA RURAL",58,2001
"ANDHRA PRADESH","VISAKHA RURAL",61,2003
"ANDHRA PRADESH","VISAKHA RURAL",65,2006
"ANDHRA PRADESH","VISAKHA RURAL",65,2008
"ANDHRA PRADESH","VISAKHA RURAL",66,2011
"ANDHRA PRADESH","VISAKHA RURAL",67,2012
"ANDHRA PRADESH","VISAKHA RURAL",70,2007
"ANDHRA PRADESH","VISAKHA RURAL",79,2010
"ANDHRA PRADESH",VISAKHAPATNAM,19,2003
"ANDHRA PRADESH",VISAKHAPATNAM,20,2002
"ANDHRA PRADESH",VISAKHAPATNAM,21,2007
"ANDHRA PRADESH",VISAKHAPATNAM,22,2001
"ANDHRA PRADESH",VISAKHAPATNAM,24,2010
"ANDHRA PRADESH",VISAKHAPATNAM,27,2004
"ANDHRA PRADESH",VISAKHAPATNAM,27,2005
"ANDHRA PRADESH",VISAKHAPATNAM,28,2009
"ANDHRA PRADESH",VISAKHAPATNAM,32,2008
"ANDHRA PRADESH",VISAKHAPATNAM,37,2006
"ANDHRA PRADESH",VISAKHAPATNAM,39,2011
"ANDHRA PRADESH",VISAKHAPATNAM,44,2012
"ANDHRA PRADESH",VIZIANAGARAM,26,2010
"ANDHRA PRADESH",VIZIANAGARAM,28,2002
"ANDHRA PRADESH",VIZIANAGARAM,29,2008
"ANDHRA PRADESH",VIZIANAGARAM,30,2003
"ANDHRA PRADESH",VIZIANAGARAM,30,2009
"ANDHRA PRADESH",VIZIANAGARAM,33,2001
"ANDHRA PRADESH",VIZIANAGARAM,34,2007
"ANDHRA PRADESH",VIZIANAGARAM,35,2006
"ANDHRA PRADESH",VIZIANAGARAM,38,2011
"ANDHRA PRADESH",VIZIANAGARAM,42,2004
"ANDHRA PRADESH",VIZIANAGARAM,43,2005
"ANDHRA PRADESH",VIZIANAGARAM,44,2012
"ANDHRA PRADESH",WARANGAL,49,2010
"ANDHRA PRADESH",WARANGAL,72,2011
"ANDHRA PRADESH",WARANGAL,75,2012
"ANDHRA PRADESH",WARANGAL,103,2009
"ANDHRA PRADESH",WARANGAL,106,2007
"ANDHRA PRADESH",WARANGAL,111,2004
"ANDHRA PRADESH",WARANGAL,116,2006
"ANDHRA PRADESH",WARANGAL,117,2005
"ANDHRA PRADESH",WARANGAL,121,2008
"ANDHRA PRADESH",WARANGAL,128,2003
"ANDHRA PRADESH",WARANGAL,131,2002
"ANDHRA PRADESH",WARANGAL,158,2001
"ANDHRA PRADESH","WARANGAL URBAN",21,2010
"ANDHRA PRADESH","WARANGAL URBAN",41,2012
"ANDHRA PRADESH","WARANGAL URBAN",46,2011
"ANDHRA PRADESH","WEST GODAVARI",59,2006
"ANDHRA PRADESH","WEST GODAVARI",62,2007
"ANDHRA PRADESH","WEST GODAVARI",69,2002
"ANDHRA PRADESH","WEST GODAVARI",72,2004
"ANDHRA PRADESH","WEST GODAVARI",73,2009
"ANDHRA PRADESH","WEST GODAVARI",74,2010
"ANDHRA PRADESH","WEST GODAVARI",74,2011
"ANDHRA PRADESH","WEST GODAVARI",77,2001
"ANDHRA PRADESH","WEST GODAVARI",77,2003
"ANDHRA PRADESH","WEST GODAVARI",78,2008
"ANDHRA PRADESH","WEST GODAVARI",81,2005
"ANDHRA PRADESH","WEST GODAVARI",91,2012
"ARUNACHAL PRADESH",ANJAW,0,2009
"ARUNACHAL PRADESH",ANJAW,0,2012
"ARUNACHAL PRADESH",ANJAW,1,2010
"ARUNACHAL PRADESH",ANJAW,2,2011
"ARUNACHAL PRADESH",CHANGLANG,3,2006
"ARUNACHAL PRADESH",CHANGLANG,3,2009
"ARUNACHAL PRADESH",CHANGLANG,5,2007
"ARUNACHAL PRADESH",CHANGLANG,5,2010
"ARUNACHAL PRADESH",CHANGLANG,6,2008
"ARUNACHAL PRADESH",CHANGLANG,7,2012
"ARUNACHAL PRADESH",CHANGLANG,8,2004
"ARUNACHAL PRADESH",CHANGLANG,9,2002
"ARUNACHAL PRADESH",CHANGLANG,9,2005
"ARUNACHAL PRADESH",CHANGLANG,9,2011
"ARUNACHAL PRADESH",CHANGLANG,10,2003
"ARUNACHAL PRADESH",CHANGLANG,11,2001
"ARUNACHAL PRADESH","DIBANG VALLEY",1,2003
"ARUNACHAL PRADESH","DIBANG VALLEY",1,2004
"ARUNACHAL PRADESH","DIBANG VALLEY",1,2008
"ARUNACHAL PRADESH","DIBANG VALLEY",1,2009
"ARUNACHAL PRADESH","DIBANG VALLEY",2,2006
"ARUNACHAL PRADESH","DIBANG VALLEY",3,2001
"ARUNACHAL PRADESH","DIBANG VALLEY",3,2010
"ARUNACHAL PRADESH","DIBANG VALLEY",3,2011
